latitude,longitude
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.316568,3.1849643
51.316568,3.1849643
51.3165016,3.2974568
51.31641055,4.961417103
51.31624355,3.129635741
51.31618605,4.93036911
51.3159617,4.929813655
51.31594025,5.06547342
51.31584435,4.332686383
51.3154584,3.3028388
51.315407,4.898589255
51.315407,4.898589255
51.3152435,3.143688017
51.3152005,4.9576193
51.3152005,4.9576193
51.3151159,4.427064462
51.3151159,4.427064462
51.3143046,3.130878724
51.3141621,4.4231062
51.31415555,4.856586877
51.31411335,4.943737008
51.3139526,4.884027888
51.31376875,4.426464782
51.3137076,4.45050408
51.3137076,4.45050408
51.3136937,3.119188292
51.31336325,4.430123161
51.31262985,4.431267865
51.3124297,3.1278838
51.3123014,4.868430551
51.31214135,4.949348143
51.3121397,4.888320917
51.3119424,4.928851301
51.31173295,4.42571305
51.3115889,4.2651952
51.31144195,4.84603676
51.3114419,3.1394898
51.31143955,4.506108152
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.3113239,4.867664136
51.31128995,4.452763737
51.3110999,4.945746964
51.3107933,3.125978622
51.3099763,3.1888002
51.3099763,3.1888002
51.3098882,4.3256305
51.3098882,4.3256305
51.3098882,4.3256305
51.3098882,4.3256305
