,base,medical_resource,province,region,departure_location,departure_location_number,latitude,longitude,occasional_permanence
101,FH PDS THUI Hainaut Est,AMB THUIN 1 (Team: AHTHUI01A)_x000D_AMB THUIN 2 (Team: AHTHUI02A),Henegouwen,Waals Gewest,Route De Biesme 16 6530 THUIN,52004,50.3330712,4.3004128,N
102,FH PDS TOUR Wallonie Picarde,AMB TOURNAI 1 (Team: AHTOUR01A)_x000D_AMB TOURNAI 2 (Team: AHTOUR02A)_x000D_AMB TOURNAI 3 (Team: AHTOUR03A),Henegouwen,Waals Gewest,Avenue De Maire 89 7500 TOURNAI,51004,50.6189572,3.3721125,N
103,FL HVP BILZ Oost Limburg,ZW BILZEN (Team: ALBILZ01A),Limburg,Vlaams Gewest,Begijnhof 22 3740 BILZEN,71003,50.869813,5.5199703,N
104,FL HVP BREE Noord Limburg,ZW BREE 1 (Team: ALBREE01A)_x000D_ZW BREE 2 (Team: ALBREE02A),Limburg,Vlaams Gewest,Bocholterstraat 15 3960 BREE,70002,51.1461236,5.5976703,N
105,FL HVP GENK Oost Limburg,ZW GENK 1 (Team: ALGENK01A)_x000D_ZW GENK 2 (Team: ALGENK02A),Limburg,Vlaams Gewest,C-Mine 50 3600 GENK,71001,50.983825,5.489918,N
106,FL HVP HASS Zuidwest,ZW HASSELT 1 (Team: ALHASS01A)_x000D_ZW HASSELT 2 (Team: ALHASS02A),Limburg,Vlaams Gewest,Zwarte brugstraat 1b 3500 HASSELT,73001,50.9441474,5.3295688,N
107,FL HVP HERK Zuidwest,ZW HERK-DE-STAD (Team: ALHERK01A),Limburg,Vlaams Gewest,Industrieweg 1096 3540 HERK-DE-STAD,73002,50.9452535,5.1716121,N
108,FL HVP HEUS Zuidwest,ZW HEUSDEN-ZOLDER 1 (Team: ALHEUS01A)_x000D_ZW HEUSDEN-ZOLDER 2 (Team: ALHEUS02A),Limburg,Vlaams Gewest,Koerselsebaan 59 3550 HEUSDEN-ZOLDER,73003,51.0372714,5.2809654,N
109,FL HVP LEOP Noord Limburg,ZW LEOPOLDSBURG (Team: ALLEOP01A),Limburg,Vlaams Gewest,Koningin M.L. Laan  145 3970 LEOPOLDSBURG,70003,51.1162188,5.2585985,N
110,FL HVP LOMM Noord Limburg,ZW LOMMEL 1 (Team: ALLOMM01A)_x000D_ZW LOMMEL 2 (Team: ALLOMM02A),Limburg,Vlaams Gewest,Norbert Neeckxlaan 52 3920 LOMMEL,70001,51.2260021,5.3247625,N
111,FL HVP MAAM Oost Limburg,ZW MAASMECHELEN (Team: ALMAAM01A),Limburg,Vlaams Gewest,Rijksweg 155 3630 MAASMECHELEN,71004,50.9843097,5.7139894,N
112,FL HVP OUDS Oost Limburg,ZW OUDSBERGEN (Team: ALOUDS01A),Limburg,Vlaams Gewest,Nijverheidslaan 1544 3660 OUDSBERGEN,71005,51.0424096,5.5479736,N
113,FL HVP TESS Zuidwest,ZW TESSENDERLO (Team: PLTESS01A),Limburg,Vlaams Gewest,Heilig Hartlaan 30 3980 TESSENDERLO,73004,51.0552828,5.0923545,N
114,FL HVP TONG Zuidwest,ZW TONGEREN (Team: ALTONG01A),Limburg,Vlaams Gewest,Sint-Maternuswal 10 3700 TONGEREN,73006,50.7837417,5.4633336,N
115,FN PDS ANDE NAGE,ZS ANDENNE 1 (Team: ANANDE01A)_x000D_ZS ANDENNE 2 (Team: ANANDE02A),Namen,Waals Gewest,Av Reine Elisabeth 150 5300 ANDENNE,90004,50.4917028,5.0878434,N
116,FN PDS BEAU DINAPHI,ZS BEAURAING 1 (Team: ANBEAU01A)_x000D_ZS BEAURAING 2 (Team: ANBEAU02A),Namen,Waals Gewest,Rue de Rochefort 221 5570 BEAURAING,92008,50.1211937,4.9784988,N
117,FN PDS CERF DINAPHI,ZS CERFONTAINE (Team: ANCERF01A),Namen,Waals Gewest,Rue de La Gare 10B 5630 CERFONTAINE,92010,50.1713921,4.4098505,N
118,FN PDS CINE DINAPHI,ZS CINEY (Team: ANCINE01A),Namen,Waals Gewest,Rue du marché couvert 20 5590 CINEY,92005,50.3122838,5.1215478,N
119,FN PDS COUV DINAPHI,ZS COUVIN 1 (Team: ANCOUV01A)_x000D_ZS COUVIN 2 (Team: ANCOUV02A),Namen,Waals Gewest,Route Charlemagne 15 5660 COUVIN,92009,50.0614965,4.4957453,N
120,FN PDS EGHE NAGE,ZS EGHEZEE 1 (Team: ANEGHE01A)_x000D_ZS EGHEZEE 2 (Team: ANEGHE02A),Namen,Waals Gewest,Chaussee de Namur 28 5310 EGHEZEE,90002,50.5898735,4.9119599,N
121,FN PDS FLON DINAPHI,ZS FLORENNES (Team: ANFLON01A),Namen,Waals Gewest,Rue du Viveroux 2A 5620 FLORENNES,92001,50.2561788,4.6079581,N
122,FN PDS FOSS Val Sambre,ZS FOSSES (Team: ANFOSS01A),Namen,Waals Gewest,Rue Sainte-Brigide 15 5070 FOSSES-LA-VILLE,93001,50.3979352,4.6974648,N
123,FN PDS GEDI DINAPHI,ZS GEDINNE (Team: ANGEDI01A),Namen,Waals Gewest,Rue de La Morie 5 5575 GEDINNE,92004,49.9825317,4.9345576,N
124,FN PDS GEMB NAGE,ZS GEMBLOUX 1 (Team: ANGEMB01A)_x000D_ZS GEMBLOUX 2 (Team: ANGEMB02A),Namen,Waals Gewest,Rue Du Stordoir 50 5030 SAUVENIERE,90003,50.5811721,4.714952,N
125,FN PDS METT Val Sambre,ZS METTET 1 (Team: ANMETT01A)_x000D_ZS METTET 2 (Team: ANMETT02A),Namen,Waals Gewest,Rue Saint Donat 23 5640 METTET,93003,50.3038227,4.6459021,N
126,FN PDS NAMU NAGE,ZS COVID NAMUR (Team: ANNAMU05A)_x000D_ZS NAMUR 1 (Team: ANNAMU01A)_x000D_ZS NAMUR 2 (Team: ANNAMU02A)_x000D_ZS NAMUR 4 (Team: ANNAMU03A),Namen,Waals Gewest,Chaussée de Liège 55 5100 JAMBES,90001,50.456608,4.8798386,N
127,FN PDS PHIL DINAPHI,ZS PHILIPEVILLE (Team: ANPHIL01A),Namen,Waals Gewest,Rue de La Gendarmerie 30 5600 PHILIPPEVILLE,92002,50.199119,4.5535744,N
128,FN PDS ROCH DINAPHI,ZS ROCHEFORT 1 (Team: ANROCH01A)_x000D_ZS ROCHEFORT 2 (Team: ANROCH02A),Namen,Waals Gewest,Rue Sous Le Château 1A 5580 ROCHEFORT,92003,50.1559024,5.2172992,N
129,FN PDS SAMB Val Sambre,AMB COVID Sambreville (Team: ANSAMB03A)_x000D_ZS SAMBREVILLE 1 (Team: ANSAMB01A)_x000D_ZS SAMBREVILLE 2 (Team: ANSAMB02A),Namen,Waals Gewest,Rue de la Vacherie 78 5060 SAMBREVILLE,93002,50.4432325,4.646846,N
130,FN PDS VRES DINAPHI,ZS VRESSE (Team: ANVRES01A),Namen,Waals Gewest,Rue de La Ringe 129 5550 VRESSE,92006,49.8373153,4.9695608,N
131,FN PDS YVOI DINAPHI,ZS YVOIR (Team: ANYVOI01A),Namen,Waals Gewest,Rue d'Evrehailles 24A 5530 YVOIR,92012,50.3222829,4.8812894,N
132,FO HVP AALS Zuid Oost,ZW AALST 1 (Team: AOAALS01A)_x000D_ZW AALST 2 (Team: AOAALS02A)_x000D_ZW AALST 3 (Team: AOAALS03A)_x000D_ZW AALST 4 (Team: AOAALS04A),Oost-Vlaanderen,Vlaams Gewest,Vrijheidsstraat 55 9300 AALST,46503,50.9395761,4.0335642,N
133,FO HVP AALT Meetjesland,ZW AALTER 1 (Team: AOAALT01A)_x000D_ZW AALTER 2 (Team: AOAALT02A),Oost-Vlaanderen,Vlaams Gewest,St Gerolflaan 12 A 9880 AALTER,41001,51.0864757,3.4469076,N
134,FO HVP ASSE Centrum,ZW ASSENEDE (Team: AOASSE01A),Oost-Vlaanderen,Vlaams Gewest,Molenstraat 54A 9960 ASSENEDE,40006,51.2242895,3.747029,N
135,FO HVP BEVE Waasland,PIT BEVEREN 1 (Team: POBEVE01A),Oost-Vlaanderen,Vlaams Gewest,Gravendreef 5 9120 BEVEREN,46001,51.2122088,4.259622,N
136,FO HVP BEVE [Melsele] Waasland,ZW BEVEREN 1 (Team: AOBEVE01A),Oost-Vlaanderen,Vlaams Gewest,Keetberglaan 7 (Haven 1098) 9120 MELSELE,46006,51.2422067,4.2757758,N
137,FO HVP DENM Oost,ZW DENDERMONDE 1 (Team: AODENM01A)_x000D_ZW DENDERMONDE 2 (Team: AODENM02A),Oost-Vlaanderen,Vlaams Gewest,Vlassenhout 17 9200 DENDERMONDE,45601,51.0328287,4.132515,N
138,FO HVP EEKL Meetjesland,ZW EEKLO 1 (Team: AOEEKL01A)_x000D_ZW EEKLO 2 (Team: AOEEKL02A),Oost-Vlaanderen,Vlaams Gewest,Gentsesteenweg 2 9900 EEKLO,41003,51.1797215,3.5756716,N
